"id","name","type","lead_source","amount","close_date","stage","probability","expected_revenue","next_step","order_number","description","competitor","delivery_installation_status","reason_for_close","lead_source_description","main_competitor","tracking_number","current_generator","delivery_installation_comments","is_private","product_interest","external_id","contact_id"
40,Moore Inc,Referral,Online Form,29470.70,2023-12-16,Qualification,30.01,77433.85,"Around establish think. Bring move who building audience. Pm stay fact lot these.
Couple authority leave green. What play once game their doctor. Art protect computer customer finally notice.","9f6092af-0aa3-4ef8-800f-2bf4d347fb26",Contract Sent,No Competition,Pending,"Style health behavior often opportunity rather clearly. Standard above less choice six agency fine.
Always will fact often. Save analysis heavy sign bad. Also study north outside individual church.",Send audience water out different federal experience. Project attorney bar five. Several education show heavy director.,Mcbride and Sons,"593430fe-9a06-483c-a5f1-22cad9dd09eb",Alicia York,"Much painting moment news black film. Gun trip truth. Purpose machine current institution and law loss appear.
Form set eat hundred. Voice skill yourself.",true,Product C,ad6a1eac-3fae-45aa-8cab-2828e739d808,38
41,Harrington Ltd,Partnership,Email Campaign,77559.22,2024-07-20,Negotiation,99.91,25466.25,There score sense common wide traditional. Congress raise direction man statement exactly story research. Source receive board laugh prevent exactly.,d3142cb7-a1cf-4b14-accc-386b50af1251,Follow-up,Competitor B,In Progress,Each because book against. Thus though above consider. Although law seem accept. Specific determine ability miss skill board military.,"By church speak husband entire great send special.
Rather defense moment whose various treatment you. Phone son front build foot.",Best-Thompson,"16b59591-08aa-468c-b62b-51942fbe77d6",Molly Hoffman,School produce control onto reveal. Sound foreign red themselves force me hand. Attorney choose wish conference.,true,Product A,"1a39dc83-40b1-4c53-a194-cdc557a4f303",39
42,Thomas-Smith,Referral,Trade Show,27879.88,2024-01-15,Qualification,62.72,48335.30,"Into tonight father she scientist international prepare court. Ball service name from southern. Activity ball teach idea challenge.
Ago arrive here another natural understand pull.",ae64efdf-5082-4110-b939-7dfbc4e15c99,Follow-up,Competitor C,In Progress,"Much see scientist human customer section thus. Left class trade one about.
My sell move paper could both bag. Network right rule whole.
Represent be develop public skill. Outside method ever face.",Present throughout offer son budget fear. Series compare three friend. Somebody cultural authority statement chair present.,Li LLC,eff821ac-14fe-40ee-b95e-f6de29bf69b8,Ronald Cook,Expect doctor strategy. Public smile work none compare trouble. Young employee focus herself continue. Amount area environmental than.,true,Product B,"9725e926-b570-48f7-9f69-0faa06e59693",40
43,"Holmes, Coleman and Banks",New Business,Website Inquiry,64525.02,2024-04-12,Closed Lost,69.35,63820.75,"Million trip student hear head. A lawyer easy land. Fine all whole town evidence remain heavy put.
Boy stop field west record population health. Create mission build win space.","4c77a9ee-c334-4847-a35f-ec667d91d4de",Meeting Scheduled,No Competition,Delayed,"Base senior green factor professor note than woman. One wish add for answer baby.
Continue wait employee there mention. Community letter make either machine modern.",Use general they high major. A son fear collection. Someone challenge significant decide.,Williams Inc,aa5bd70b-b8e4-40c1-ba4f-7e9bbb6b0072,Anthony Freeman,"One hundred wall film effort statement mind her. Identify left in describe arrive behavior. Accept evidence nothing trade end result decision.
Trip early Republican individual.",true,Service A,"007ba8f2-67e1-4fed-94ab-d573c483393f",41
44,"Campbell, Douglas and Romero",Referral,Trade Show,72878.44,2024-11-04,Qualification,16.97,64079.66,Some establish grow talk us generation drive out. Bar view finally spring light. Yet get wait especially economic which sure. Fall season require industry.,"9535173e-ee57-46d2-b5cc-12e1274e8edd",Demo Presented,Competitor C,In Progress,"Finish manage so buy away area spring although.
Politics high author most identify. Officer simply notice soldier.","Magazine many top specific language able. Ready prevent carry.
Speech take former grow fly field support. Art number class bad power hospital. Accept heavy cause leg.","Elliott, Steele and Mills","8cdf8d3c-2fd5-48a6-b924-df76f407d3d7",Jacqueline Stanton,"Pretty message finally reveal color. Involve bad someone page join turn course.
Still authority art exist degree care.",false,Service B,f051fe98-0dcb-46de-b3f7-f6c40732ccd9,42
45,Garcia-Gallagher,Existing Business,Customer Referral,92210.78,2024-09-05,Closed Won,8.82,92396.21,"Measure among wife call successful year business. Those center event his certainly.
Fund should ahead want arrive main sense.","8f13f286-9ee4-46b5-a637-8dfc61be2191",Follow-up,Competitor A,Completed,"Summer anyone author some magazine explain difference ago. Pull include project in able summer.
Good owner grow.
Property tonight contain country girl.
Vote care sing much term claim.","Make gas claim fund sense share. Only factor ground law common. Cell start foreign over.
Available true thus many. Ability expert fire half throw life sort.","Lewis, Tate and Martin","64d798ec-5a3f-45fd-93a8-3c033511e3cc",Mr. Michael Williams,"Worry cover Republican audience. Happen toward both yourself.
Last full benefit.
Republican get seven else understand letter reduce move.",false,Product B,"9c576fd0-3e01-42da-a2f1-389fc50fbf70",43
46,Lee Inc,Existing Business,Event/Seminar,58764.71,2024-09-02,Closed Lost,4.49,14162.85,"Everyone task important thus. Significant structure nothing between watch must return how.
Third report popular participant conference.",c2ac3cb2-ffae-4b04-86aa-03b6533d4668,Meeting Scheduled,Competitor B,Completed,Other true history he among. Woman center general people stay argue hand.,"Face board newspaper contain. Four hear many TV yeah.
Through mean community show ahead technology. Continue number interesting drive compare. Material represent become better.",Andrews and Sons,"408c4c32-1d5e-4ae5-a663-356600d7169b",Eduardo Hamilton,"Ability same price sometimes someone the sport hair. Hour would dark news national action.
Pattern media not voice. Maintain practice consider us. High woman such hand.",true,Service B,"38ea53d0-41c8-4221-b1ba-5b3f2c8e27c5",44
47,"Jones, Schultz and Leon",New Business,Organic Search,36820.43,2024-11-27,Prospecting,97.26,52019.47,Democratic then hope improve entire. Relate price traditional year. Within majority hand manager country while live.,"62ce9f7c-5334-4c2e-96fa-543e1eae130f",Demo Presented,Competitor A,In Progress,Point campaign thing bit relationship senior material card. Cost much draw our structure. President report threat as machine despite. Fear ever the.,"Deal hundred way economy. Majority personal play continue painting.
Establish drive view page. Figure have cut unit economy.",Rose Inc,fa5011f3-8a35-479a-99a9-f72a7af8e45f,Aaron Duffy,"Election writer yes foot about food she. Box fear read hard environment.
Over win fill another ready also approach. Easy final style agent option body. Democratic not mention law drug manage area no.",true,Product C,"2d01a917-a041-4a28-9ae1-428fe359bd33",45
48,Clark PLC,Partnership,Event/Seminar,20694.30,2024-08-20,Prospecting,32.01,63694.09,"Media admit seem knowledge father add population.
Join this Mrs animal too wind college. Safe in treat majority firm car.
Instead court third. Issue point central blue.",b52a759e-ba56-46a1-8bd3-7e37d83a4d16,Meeting Scheduled,Competitor C,Completed,"Thus ok really where letter understand. Field huge thought.
None above agree more while test.
Although strategy wear. Fish space bill year same piece whose offer.","Test whom one during mother. Fight middle age entire laugh.
Woman arm it. Too me figure language need.
Field live analysis. Edge firm set. Chair campaign technology level car forward.",Lee-Lopez,"33730407-7340-4460-9761-e1301c37d71d",Donna Boyd,"Exist bank bank system. Task small cut all another. Often old successful discussion difficult. Whether charge campaign however heart building.
Measure hotel level research.",false,Product A,f9367406-a807-4bee-80e5-0ef238b9bc89,46
49,Schaefer-Villa,Partnership,Email Campaign,96242.17,2024-10-03,Proposal,83.77,43726.81,Series part clear leg simple yes. Able pretty source scientist. About life which generation star leg son.,d151bd63-9675-4676-abee-ed0471913c76,Initial Inquiry,Competitor A,Pending,"Nothing exactly former town. Southern give choice ready hit Congress minute.
Sound foot month day. Second sure put their people with.",Research next and green action miss. Argue administration under throughout also create police. See newspaper learn environment machine few. Study reach minute these open movement.,"Scott, Schmidt and Duncan",cee0f567-ec3f-4729-93da-57c827a42a94,Robin Esparza,Necessary wind camera few difference may. Decision do including its soon. Minute Democrat leave such cold experience.,false,Service A,"96919b8a-7a4d-4b36-8dd0-a4bb545dab9b",47
50,Hodge Group,Existing Business,Advertisement,11791.48,2024-02-21,Proposal,58.08,49473.10,"Budget say hope once feeling debate. Participant certainly citizen yet them challenge toward. Health summer why color grow.
Maintain appear ball money year. Parent positive true enough room.",f118ef4a-a4a7-4b46-9986-49b2dd70a6e0,Initial Inquiry,Competitor C,Completed,"Close result treatment begin check goal certain. Oil six collection.
On possible popular without page world five. Congress know table.
Send page whom develop security. Light edge drive appear for.",Half relate available before. Field drop watch no task senior.,Michael-Tran,"7b903645-8b15-46cc-9773-6f2b50bf1f20",Bryan Hansen,"For forward manager health campaign. A without effort major you Mrs right.
Perform choose land trial behind reality.
Course soldier population offer his. Like give friend. Visit beat let.",true,Product A,"995b2c24-b867-48aa-9b5d-46366d57af36",48
51,Allen Ltd,New Business,Event/Seminar,98667.05,2024-04-06,Closed Lost,2.21,72597.91,Stock imagine ago difference key short. Dark dream second official own financial total. Beyond spring oil direction physical.,c463fa11-b277-4fe8-863a-c1ee5c1d5e5c,Demo Presented,Competitor C,Delayed,"Cold quickly term. While rich better agree laugh team phone. Nation eat attorney process however camera animal.
Peace ahead group trouble worker card. Long push leave deep relate threat key.","Never car other set east station operation stop. Least serve open leg every material process.
Usually soon administration. Baby mission choice international account like.",Lee-Everett,fd34d1be-eea9-413c-bda6-b37a43a367da,Jordan Sandoval,"Data cut team group candidate dinner. Lose skin attention build trade.
Establish light put commercial program lay feel. Key once according specific culture I mission short.",false,Product A,"9b97c213-93b8-45ea-a6c2-6e8cfb34b476",49
52,Hunter-Barnett,Partnership,Trade Show,47694.94,2024-06-01,Proposal,89.56,60504.40,"Us land movie plan spend politics. Prevent night great firm. Leader these test commercial president.
Shoulder expert put just eight. Radio agency pay true true central activity.","5ea5111f-37c1-48c1-aaab-6ed49a30cd48",Contract Sent,No Competition,Completed,Hard yourself former small over. Job education bad happy same weight write. Two leave material together cost really action.,Power because student current hold design them. Rock worker listen after certainly.,Mckenzie LLC,"951b08d2-622c-469f-b9e3-de00b9cb000d",Julia Randall,Indicate where in. Something technology here. Who stuff age Democrat lawyer task.,true,Product B,"76b23746-be22-4ed3-bca7-0444d11b0f3f",50
